,caption,name,overall_rating,category,opening_hours
21,"I liked it, a bit cold but very nice place to see a movie",The Projector,4.6,Cinema,
22,"loved the experience! I didn't so much like the popcorn- I got the cinnamon one but it wasn't glazed like I thought it would be so it was so-so to me though those who don't mind unglazed popcorn might like it! Their thai milk tea was nice, though. The theatre was nice and comfy and they have these pamphlets for the month's screenings out to take that are really cute! I watched Crimes of the Future here and #traumatised...just kidding HAHA no but really. Had a great experience!",The Projector,4.6,Cinema,
23,Old but charming cinema! I love the movies being shown here.,The Projector,4.6,Cinema,
24,"Cool place for movies and drinks, always love the film selection/ curation",The Projector,4.6,Cinema,
25,"My favorite cinema in Singapore for the fantastic curation of independent and foreign movies. Brings back memories of the 80s when this same cinema was the nearest to my grandparents' place so I was actually here as a little kid! Even though the place is old, it's been spruced up super nice and clean. I also love that I can have a glass of wine with the movie - or at least that was the case before the lockdown. I'm so glad this place survived the lockdown and can't wait to be back!",The Projector,4.6,Cinema,
26,"Watched Park Chan-wook's ""Decision to Leave"", great sound system, love that they let us bring bar bites (seafood wontons with chilli crab sauce is mind-blowing btw) and drinks into the theatre. Cozy ambience and confortable seats, will return!",The Projector,4.6,Cinema,
27,"I always come back to watch hard to catch movies here. The food here is pretty great as well, a bit pricey but big portions!",The Projector,4.6,Cinema,
28,"Place gave a retro feel, which was interesting, but the customer service was unsatisfactory.  It was not clear that we needed to sit 2 seats apart, and we were forced to move seats right before the movie started. This created a lot of inconvenience as the room was dark.  Furthermore, there was poor enforcement of this rule. We were forced to move despite having arrived earlier than a group of 4 people to our right (who also did not follow the 2 seats apart rule) but were allowed to move one seat to the right, leaving no seats left for us to follow the rule.  We had to find new seats in the dark when most people were already seated and hence had to move to the back. We came early to get good seats for a reason and it was supposed to be free seating.  This has ruined the movie experience for us.  UPDATE(7 Sept 2022): Despite the offer of movie vouchers as seen in their reply, I have been waiting for almost 2 years for these vouchers to materialise. Take it as you will.",The Projector,4.6,Cinema,
29,"First time here and it was truly impressive! We took the massage and onsen access set menu which is really worthy in our opinion.  Convenient location, just right out of stadium station and follow the direction signage to Yunomori. Fast check-in process. Clear instructions inside the onsen area and many staff to help you out. My friend was very satisfied with the skill of the masseur.  Definitely worth a visit and we will be back!",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
30,"The last time I visited this place was more than a year ago, nothing much has changed.  The staff at reception counter were polite, service was ok but they left new customers’ application forms lying at the counter without covering the personal particulars.  The staff at the changing room cleaned and wiped the floor dry prompted. It would be great if they could remind inconsiderate customers to close the doors when entering or leaving the onsen area.  There onsen bath was good with cold, hot, bubble, jet bath, etc.  The changing room was still cramped, about 3-4 dryers were available. That’s nothing much they could do unless re-renovate the place.  The staff at the cafe were friendly and polite. The food was average or above average which was totally acceptable given the reasonable pricing.  Have not tried their massage, no comment.  Overall good experience and it would be more pleasant if verbal education/reminders can be given to customers to bathe before going into the onsen, close the door when entering and leaving the onsen.",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
31,"A place where one can really spend an entire day in. I normally soak, come out to eat, soak again. You can have massages or just rest and nap in the resting area. Food wise, menu is comprehensive and they served melon milk, banana milk etc, completing the onsen experience well!  I have tried half the menu and so far none disappoints me.",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
32,"Enjoyed a 30 min head and shoulders massage, onsen and a nice Japanese lunch here. No need to be in Japan to have a chillax time.",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
33,"I used to give this place 5 stars and I even sign up a membership with them. However, recently, not only the prices went up but even if you do their massages, not all massages come with onsen entry anymore. Quality of the cafe also has dropped. They used to have my favourite ginger tea but the recipe now is diluted and only tasted sweet. I'm sad cause I have to find a new spa place.",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
34,Place cannot take alot photo so jus one to sum up. Its very clean and neat place. Every ladies know how to maintain the place when using it. Even after shower we have that simple gesture to push in the stool n over turn the pail. Place is very well maintain. Quiet. Good to relax if  u are tired with household. This definitely a place to relax,Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
35,"Had a deep-sleep massage + Onsen for first tine experience here and it did not disappointment me instead impressed me with the very relaxing 60 min massage, serene ambiance, yummy food and unintimidating onsen. It's worth every $ experience. Im so gonna bring my children next time so they can experience the onsen. Renting/wearing Yukata and Obi is such a cute part in this experience so I made sure I take photos. Onsen has 6 baths and a sauna room which i believe one can stay 1-2hours. Their locker/shower area at onsen has all the toiletries and necessities provided including a hair dryer. Really worth the $ must try!",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
36,Today the onsen is really crowed due to holiday season. I don’t understand why they allow chopping seat! So many people come in and out to seek to a space to rest. While some brainless one chopping the seat and missing few hours,Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
37,Great onsen experience with nearly all the traditional features. Wonderful to have a steam room and sauna. Chic features and furniture. Would recommend - just follow the signs!,Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
38,"Really looking forward to my trip here as I couldn't stand this rainy CNY season anymore and I'm due for a much needed break after working for 2 weeks straight without a day off until today so naturally I have high expectations  I was there from 2 to 9pm. Staffs are hospitable and helpful, they will ask if you're a first timer and guide you through the onsen steps. Environment is very comfortable and clean, after taking my first onsen dip I head to the cafe for salmon chawanmushi, food was not hot enough but still quite tasty. Then I took a nap at the lounge for an hour or two. Temperature was just right and I doze off right away after food & onsen.  Woke up and went for a second dip, this time more people, around 10-15 even on a monday. Had to queue for awhile to use the hairdryer but all basic amenities were provided (comb, ear buds, body lotion, towels, yukata, body and hair shampoo). Then I had the Tonkotsu Ramen for dinner and my god it was exceptional. Best chashu I've ever tasted! Charred just the right amount and the broth is light so it's not overwhelming. Decided to try the chocolate lava cake for dessert, the lava itself is quite sweet accompanied with strawberries, the cake itself is not sweet so I suggest eating them together.  Then I've decided to go for a final quick dip before I leave. Discarded my used towel earlier so I had to pay another $3 for a big towel which is fair.  Overall I enjoyed trying different baths especially when dipping into the cold bath after the hot ones, you'll immediately get a rush straight to your head (not for everyone, be cautious). My muscles immediately doesn't ache anymore and the experience is very refreshing. Thank you so much, I'm very much rejuvenated ☺️☺️",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
39,It’s a great place for some relaxing me time! Too bad I didn’t manage to book the massage. They have a variety of hot baths which you can take your time to enjoy. Quite spacious. Food at the cafe was pretty decent. And I absolutely love the resting lounge - can really fall asleep there. Affordable one day pass.,Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
40,"1st time trying onsen. Good experience, and the staff will guide you along. They provide disposable tube and panties as well. No phones are allowed during onsen, which is good because you get to enjoy the time together w friends.",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
41,"My experience here was good! The baths here have good variety and are at the perfect temperature for me. My favourite was the silk bath which made my skin feel so smooth after! There are adequate amenities here for female. The dressing room has hair oil, hair tonic, body cream, hair bands, hair dryer, etc. the bathroom provides shampoo, conditioner and body wash. There’s also a water cooler outside the baths.  Do note that you are not allowed to take pictures in the dressing room. But i saw one lady trying to snap a picture, so do be aware of your surroundings and kindly remind ignorant people who tries to go against the rules.  Cafe food was decent and the milk, which everyone should totally get after their onsen, was decently good as well.  One sad thing though is the resting lounge which has too little sofa for their guests.",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
42,Nice place for soak and relax your muscles. The tonkatsu ramen is great and even better than the ramen I had at many Japanese restaurants.,Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
43,"I was unfortunate enough to encounter two very loud and selfish women who chatted loudly and non-stop in the Onsen area. I asked a staff to go in to tell them to be quiet. When I returned a few minutes later, those women were still talking and have not softened their voices. Obviously your staff didn’t deliver the warning sufficiently. When groups check-in, your staff should remind them no talking in the Onsen area and that they will be asked to leave if found to be disturbing the ambience of the area. I noticed several other ladies looked annoyed and stared at them too but were probably too polite to complain.  I’d love to return but only if management takes it seriously to do something about teaching the right etiquette to clients. I have noticed previous reviews that this issue have been raised and yet it seems your staff is still not handling it properly.",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
44,"Having visited the Bangkok Yunomori Spa, this is a much smaller establishment compared to the Bangkok one. The onsen pool is slightly smaller, perhaps missing the outdoor pool and magnesium pool. Locker room is pretty small but well equipped although the lockers are really too small to be useful. Food wise needs improvement. There is lounging area but the aircon really not working well.. and too stuffy to rest there.",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
45,"Japanese style Onsen & Spa. You are not allowed to take photos in the Onsen & Spa area, but the foyer is fine.  There's props like umbrella, wooden geta etc at the foyer. You can take nice pictures with the green bamboo backdrop there too.  You get to pick the design of kimono inside the Onsen & Spa & you can head out to the foyer for some nice pictures.  They have several modern onsen baths like silk bath, jet bath, cold bath, Soda bath etc. Steam & Sauna room beside the onsen baths too.  There's a cafe inside the premise where they sell Japanese food like curry rice, Chawanmushi, nigiri, salad, rice bowl etc. You won't be hungry while enjoy a full day of Spa!  I highly recommend you to check this place out!",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
46,The local onsen to go to if you miss the real ones in Japan. Love their hot and cold pool. The ambience is amazing and really induces deep relaxation. Had some hit and miss experience with their massage service though. I hope they will stay open till 12am for those who come after work and a slow dinner.,Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
47,"Honestly, way pricier than its value. Onsen baths include the bubble bath, the sleeping jet baths, the silk bath and the yunomori signature and the cold.  Baths are quite poorly maintained, steam room is quite dirty despite the refreshing lemongrass fragrance- spa uses strong smelling essential oils which masks the damp and unclean odour. Dressing room is very nice, showrr area is very clean. Love the indoor restaurant but the food is over priced as well..",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
48,"A relaxing place to be in. They have several baths to choose from, a sauna and steam room. There's also a cold bath. The place is clean & safe. Food there is also good. If you want to take it further, you can have massage etc here too.",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
49,"Writing with deep dissatisfaction and disappointment with the services provided by Yunomori Spa's management on the handling of the membership credits after the covid pandemic period. During the COVID-19 pandemic period, when Yunomori spa services were temporarily unavailable and restricted due to government regulations and health concerns, it is disheartening to learn that your company did not provide any notification and proper extension for consumers to utilise expiry credits. As a result, many of us were unable to redeem the services we had paid for, thereby incurring a significant financial loss. I believe it is the responsibility of your reputable brand and spa business to act ethically and fairly, especially in times of unforeseen circumstances like the global pandemic. Failing to provide a reasonable extension to customers is an unfair business practice and demonstrates a lack of consideration for your loyal patrons. As a last resort and after multiple tries to request extension, I have resorted to this review and will be bringing this up with Consumers Association of Singapore (CASE) through the dispute process.",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
50,"Went on a thursday from 11am+ till 4pm and there were on average <10 people in the baths so there isnt any wait/crowd. Disposable undergarments are given for free if you request for them (most ladies would wear it). There were 5 different baths but 4 of them are of the same temperature and the last 1 is cold bath. Would be better if there’s more variation in the temperatures. Only 1 of the jet bath is stronger than the rest, but even then was not very shiok as a massage. If only there were jets for neck and shoulder too. 3 vanity stations were almost not enough when i was getting ready at 3pm+. Lounge was chill and quiet with many long individual couches so you can read/use phone/sleep there. Cafe food was alright, had tonkatsu ramen and the chashu were nice and thick. Overall a relaxing experience!",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
51,Water temperature is not regulated. Very hot sometimes till its very uncomfortable... use to have pail of water for people to rinse before entering different saunas. Very dirty. Steam room need to be cleaned hourly by staff at least spray water around the place. And add some peppermint essential oil instead of throwing the hair spray. Towels given are very dirty and turned black.,Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
52,"Please extend the operation hour to previous 11pm. I knew 2am was a history before covid but 10pm closing is kind of early.  Especially when the place is so crowded during peak hour, an extension of closing hour will help a lot to reduce the crowd control.",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
53,"The onsen area had 1 cold pool, 4 warm pools (silk bath, Sakura bath, hydrogen bath and massage bath) and 1 sauna. It was also smaller than expected. Nonetheless, it served the purpose of soothing aching muscles. I also went for the Thai massage and the therapist was very skilful. The staff were very kind and even offered to take a photo of myself posing with the Yukata. I enjoyed myself during the session but perhaps was not used to the quick changes of hot vs cold water treatment so I fell sick after.",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
54,"What a great place to have an au natural mineral spring bath house and a great Herbal Massage. Total bliss. Of course if you can wear the an underwear they provide. You come out so refreshed and relaxed. The staff take care of your every need. Then when your hungry just head down to the Japanese restaurant for an excellent meal, tasty fruit juices and you must have the milk to replenish and hydrate. You'll also look good in the Yukata. Thank you Yunomori Onsen.",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
55,"Very expensive but it's super relaxing if you time it right and visit them when they don't have a lot of people. Relax area is very pleasant. Food they sell is also not bad at all & lots of healthy options  My only issue is that their hot tubs are very lukewarm, all of them except cold baths only 38~39 degrees cecius so it takes a considerable amount of time inside to really heat up your body. Would be great if they had a higher temp option around 43 ~ 46",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
56,"Here for the May baby promotion. The staff handled the onslaught of people quite well that day. First time at this onsen, and having been to a few I gotta say I like the Japanese theme. From the yakuta, clean interior design and the many types of baths. The signature bath with essential oils was my favourite and ended the soak in the cold bath. The rest area was quite peaceful and the cafe was constantly crowded. Ordered a fruit juice to cool off.",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
57,"Went with my young girl (20 Jun 2023, 2pm). It was pretty exciting to go in, to walk in barefoot, to choose your yutaka... The front desk gentlemen was very friendly so it was a warm welcome. The lady inside explained the rules but done very quickly so took a while to understand for a first timer.  Great points: The spas were wonderful...we loved the: - the onsen experience of taking a shower seated next to your child - the warm water hugging your body and the tiredness all away, leaving us both relaxed and both slept super well at night - the different pools and their texture - a small cafe an option for food, in between our soaks, came out for cake, drinks and fried chicken. We brought some books to read and then took a 5min nap for the fun of it. - the tag that they give you is great too, keeps all your things safe. - Honestly $48 for entry is quite good since most 1hour massages are way more expensive.  What could be improved: - the left side bubble bath one of the individual pods were down and it seems that the remaining 4, 1 was much stronger and shioker than the rest, better if can have all of them of the same consistency - Kids portion for menu would be good like fried chicken or nuggets with fries - more ice cream choices - towel situation: you are given one small towel and a larger towel but you can only bring the smaller one into the shower cum onsen area. Yet you need to dry yourself after your shower before you enter the locker room, which is strange because your large towel you cannot bring into the shower area. Not sure if i misunderstood the rules.  Will i come back? yes if i cannot go a real onsen then i guess this will do but perhaps alone or with another adult who will enjoy a longer soak. though my child did ask me to bring her back..",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
58,"Would be 5 five stars. No one is monitoring the noise at the resting lounge. And some hair products were out of stock. However, overall the experience was still great. Love the cold bath. Food prices are abit over the top but it was good.",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
59,"Just done a booking with Gwen this afternoon.  She is sweet and friendly, with a cheerful tone advise and recommend on the appropriate time arrangement for my onsen and massage .  Great job Gwen, thank you for sharing and advice. Keep up the good job and great days ahead.",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
60,"Went with my friends today. While checking out, the staffs did not pass me my items and only give me my shoe locker keys back. Upon leaving the place only then we realized the staffs did not give it back to us but were just busy talking there. I called back to ask if my items were still there but it took them 7-8 calls later to answer one damn phone. Staff were so rude to me as well. Is this how you even act as a customer service? I may have forgotten about it too but shouldn’t your staff be more attentive? I check in with what items but gotten back what items. While booking this place took me a long time to dial in too. Horrible service.",Yunomori Onsen & Spa,4.2,Massage spa,"Wednesday, 10 am to 10 pm; Thursday, 10 am to 10 pm; Friday, 10 am to 10 pm; Saturday, 10 am to 10 pm; Sunday, 10 am to 10 pm; Monday, 10 am to 10 pm; Tuesday, 10 am to 10 pm. Hide open hours for the week"
